time,event,kept,fitness
0,Beg,False,-0.06556
1,Ins,True,-0.06515
2,Ins,True,-0.06523
3,Ins,True,-0.06483
4,Ins,False,-0.06483
5,Ins,False,-0.06483
6,Ins,True,-0.06637
7,Ins,True,-0.06539
8,Ins,True,-0.06596
9,Ins,True,-0.06539
10,Ins,False,-0.06539
11,Ins,True,-0.06619
12,Ins,True,-0.06572
13,Ins,True,-0.0658
14,Ins,True,-0.06459
15,Ins,False,-0.06459
16,Ins,False,-0.06459
17,Ins,True,-0.0654
18,Ins,True,-0.0662
19,Ins,True,-0.06524
20,Ins,False,-0.06524
21,Ins,False,-0.06524
22,Ins,False,-0.06524
23,Ins,False,-0.06524
24,Ins,True,-0.06579
25,Ins,False,-0.06579
26,Ins,True,-0.06508
27,Ins,True,-0.06692
28,Ins,True,-0.06603
29,Ins,True,-0.0658
30,Ins,True,-0.06667
31,Ins,True,-0.0662
32,Ins,True,-0.06579
33,Ins,True,-0.06491
34,Ins,False,-0.06491
35,Ins,True,-0.06475
36,Ins,True,-0.06539
37,Ins,True,-0.06603
38,Ins,True,-0.06579
39,Ins,False,-0.06579
40,Ins,False,-0.06579
41,Ins,True,-0.06595
42,Ins,True,-0.06667
43,Ins,True,-0.06644
44,Ins,True,-0.0662
45,Ins,True,-0.06539
46,Ins,True,-0.06603
47,Ins,True,-0.06627
48,Ins,True,-0.06603
49,Ins,True,-0.06685
50,Ins,True,-0.06443
51,Ins,False,-0.06443
52,Ins,False,-0.06443
53,Ins,False,-0.06443
54,Ins,False,-0.06443
55,Ins,False,-0.06443
56,Ins,False,-0.06443
57,Ins,True,-0.06676
58,Ins,True,-0.06515
59,Ins,True,-0.06539
60,Ins,True,-0.06492
61,Ins,False,-0.06492
62,Ins,True,-0.06588
63,Ins,False,-0.06588
64,Ins,True,-0.06603
65,Ins,True,-0.06525
66,Ins,False,-0.06525
67,Ins,True,-0.06459
68,Ins,False,-0.06459
69,Ins,True,-0.06499
70,Ins,False,-0.06499
71,Ins,False,-0.06499
72,Ins,True,-0.06579
73,Ins,True,-0.06451
74,Ins,False,-0.06451
75,Ins,True,-0.06523
76,Ins,True,-0.06499
77,Ins,False,-0.06499
78,Ins,True,-0.06484
79,Ins,True,-0.06548
80,Ins,True,-0.06491
81,Ins,True,-0.06555
82,Ins,False,-0.06555
83,Ins,True,-0.06651
84,Ins,True,-0.06676
85,Ins,True,-0.06548
86,Ins,True,-0.06507
87,Ins,True,-0.06517
88,Ins,True,-0.06595
89,Ins,True,-0.06596
90,Ins,True,-0.06611
91,Ins,True,-0.06571
92,Ins,True,-0.06507
93,Ins,True,-0.06547
94,Ins,True,-0.06604
95,Ins,True,-0.06604
96,Ins,True,-0.06628
97,Ins,True,-0.06627
98,Ins,True,-0.06563
99,Ins,True,-0.06588
100,Ins,True,-0.06588
101,Ins,False,-0.06588
102,Ins,True,-0.06587
103,Ins,True,-0.06588
104,Ins,True,-0.06468
105,Ins,True,-0.06539
106,Ins,True,-0.06668
107,Ins,True,-0.06572
108,Ins,True,-0.06524
109,Ins,True,-0.06411
110,Ins,True,-0.06516
111,Ins,False,-0.06516
112,Ins,True,-0.06635
113,Ins,True,-0.06555
114,Ins,True,-0.06555
115,Ins,True,-0.06587
116,Ins,True,-0.06539
117,Ins,False,-0.06539
118,Ins,True,-0.06619
119,Ins,True,-0.06587
120,Ins,True,-0.06603
121,Ins,True,-0.06532
122,Ins,False,-0.06532
123,Ins,False,-0.06532
124,Ins,True,-0.0654
125,Ins,True,-0.06595
126,Ins,True,-0.06628
